age,bmi,daily_income_inr,children,smoker_tobacco,occupation,tier_city,recommended_policy
52,23.7,374,3,Yes,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
31,25.5,322,0,Yes,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
34,21.0,426,3,Yes,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
53,28.5,643,2,Yes,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
57,27.6,627,3,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
21,26.0,1306,3,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
19,23.5,964,2,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
23,26.0,831,2,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
59,21.5,264,1,Yes,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
21,27.0,627,2,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
46,29.8,817,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
35,27.7,1124,3,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
43,21.4,1011,1,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
51,25.3,306,2,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
27,19.5,858,3,Yes,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
53,26.0,1485,0,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
31,25.6,1382,0,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
48,17.5,464,1,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
32,19.9,1425,0,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
25,23.0,354,3,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
31,22.9,1236,2,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
40,19.8,1095,0,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
57,25.4,1192,2,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
38,24.9,444,3,No,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
33,23.3,585,3,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
35,21.4,958,2,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
41,27.7,613,3,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
43,29.8,914,1,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
42,22.3,958,0,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
58,21.9,946,1,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
46,25.7,792,1,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
32,22.7,1038,1,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
18,23.5,215,2,Yes,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
42,26.6,1192,2,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
24,17.3,1268,3,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
26,28.6,850,2,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
41,24.3,347,3,No,Security Guard,Rural,PMJJBY (Life Cover - ₹436/year)
18,22.6,554,2,Yes,Small Shopkeeper,Tier-2,Micro-Endowment (Chota Bachat)
25,23.7,1459,3,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
41,23.9,902,0,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
28,17.9,812,3,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
34,29.2,304,0,No,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
25,24.1,595,3,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
52,25.6,805,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
52,27.3,1443,2,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,20.4,1050,0,Yes,Delivery Partner (Gig Worker),Tier-1,Gramin Dak Sevak (Rural Postal Life)
22,25.7,641,1,No,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
59,23.1,1072,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
56,27.0,866,3,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
58,16.6,1251,2,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
45,23.7,993,1,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
24,21.9,674,2,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
26,25.5,827,2,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
25,25.6,701,2,No,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
29,21.5,547,3,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
51,21.5,1463,0,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
50,23.6,1217,3,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
40,20.9,769,1,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
41,26.9,894,0,Yes,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
54,22.7,225,1,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
52,13.8,1300,0,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
57,22.7,416,0,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
39,20.4,1036,3,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
44,18.3,973,2,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
52,19.7,1246,2,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
18,24.4,869,0,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
52,28.7,917,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
54,25.1,509,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
31,21.9,798,1,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
20,25.6,466,2,No,Security Guard,Tier-2,PMJJBY (Life Cover - ₹436/year)
18,22.4,845,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
22,21.6,1490,1,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
43,20.0,1222,1,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
31,17.9,649,3,Yes,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
56,22.6,764,1,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
44,24.6,1470,3,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
26,23.7,1259,2,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
32,22.5,227,1,Yes,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
32,20.7,419,2,Yes,Security Guard,Tier-2,PMJJBY (Life Cover - ₹436/year)
43,26.1,605,0,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
59,19.4,470,0,Yes,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
30,26.7,991,0,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
49,20.5,1162,1,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
56,21.4,1033,2,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
49,18.9,516,1,Yes,Security Guard,Tier-1,Micro-Endowment (Chota Bachat)
21,22.2,537,2,No,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
47,27.4,550,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
54,25.8,710,1,No,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
40,27.4,724,0,Yes,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
56,25.8,691,3,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
32,20.1,208,2,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
46,22.8,760,1,Yes,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
53,21.3,639,2,Yes,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
30,28.7,991,2,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
49,19.8,1331,1,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
24,27.1,1468,1,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
39,27.1,1478,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
45,30.4,232,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
19,22.6,1246,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
59,26.5,1044,0,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
23,32.0,765,2,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
45,21.8,248,0,Yes,Street Vendor (Rehdi),Rural,PMJJBY (Life Cover - ₹436/year)
45,18.6,661,3,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
37,17.4,789,0,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
47,26.5,535,0,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
28,17.4,1345,3,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
45,22.7,558,2,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
42,25.5,545,0,No,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
56,24.6,392,2,No,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
50,25.5,955,2,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
18,24.8,1369,1,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
44,28.5,677,2,No,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
30,20.7,1027,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
58,21.6,1089,0,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
20,21.3,852,2,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
56,26.9,607,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
23,27.2,485,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
25,25.6,1050,1,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
44,28.1,310,0,No,Security Guard,Rural,PMJJBY (Life Cover - ₹436/year)
26,19.9,819,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
54,29.8,992,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,29.3,249,1,No,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
59,26.6,1237,3,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
41,30.2,1357,2,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
32,18.2,787,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
49,22.2,795,0,No,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
49,21.4,869,2,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
41,26.5,513,2,No,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
58,20.3,805,0,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
29,26.7,496,1,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
56,28.8,768,1,No,Auto/Taxi Driver,Rural,PMJJBY (Life Cover - ₹436/year)
19,26.4,1387,2,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
20,25.0,1031,0,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
54,20.5,809,2,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
34,21.0,215,1,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
19,28.4,1301,3,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
19,26.7,271,3,Yes,Delivery Partner (Gig Worker),Tier-1,Saral Jeevan Bima (Standard Term)
45,23.9,469,1,No,Daily Wage Laborer (MNREGA),Rural,Gramin Dak Sevak (Rural Postal Life)
40,22.5,486,2,Yes,Street Vendor (Rehdi),Tier-2,PMJJBY (Life Cover - ₹436/year)
54,16.9,265,3,No,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
49,20.3,1079,1,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,30.7,267,0,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
18,19.5,1416,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
36,24.7,1278,2,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
19,27.5,1179,3,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
43,19.6,1173,2,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
49,24.6,1391,3,Yes,Daily Wage Laborer (MNREGA),Tier-1,Saral Jeevan Bima (Standard Term)
23,27.3,707,3,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
49,24.0,1036,1,Yes,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
21,34.0,1325,3,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
28,18.2,1085,0,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
34,27.7,993,2,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
55,23.4,621,3,Yes,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
41,26.7,974,2,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
22,25.5,677,3,Yes,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
51,21.4,1125,1,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
23,24.8,319,0,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
39,17.5,687,2,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
28,26.1,1384,1,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
33,25.0,277,2,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
50,26.2,1261,1,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
26,27.7,640,0,No,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
23,25.3,661,3,No,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
33,24.5,811,1,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
46,20.9,1116,2,Yes,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
20,21.5,1315,2,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
37,28.2,808,1,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
53,29.0,205,0,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
36,23.2,880,0,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
43,24.2,1094,3,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
20,20.8,470,3,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
36,28.1,1010,2,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
37,26.3,758,2,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
49,30.8,298,3,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
24,20.9,725,3,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
58,22.7,393,3,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
50,24.8,1380,1,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
57,26.3,1338,3,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
56,23.2,595,1,Yes,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
35,20.9,969,1,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
57,27.1,1223,3,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
18,26.5,1079,0,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
28,20.8,1437,0,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
45,28.7,944,2,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
42,28.1,882,3,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
40,24.5,214,2,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
48,24.3,567,3,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
47,25.9,837,2,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
59,21.0,1052,1,No,Farmer (Kisan),Rural,PMSBY (Accidental Cover - ₹20/year)
52,24.1,1436,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
24,16.5,899,0,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
33,27.1,204,3,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
43,18.5,430,2,Yes,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
19,29.3,1424,2,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
18,22.8,1372,2,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
29,23.3,1211,2,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
22,21.8,1449,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
54,23.0,785,2,Yes,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
49,29.0,368,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
26,15.3,960,2,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
58,28.5,991,0,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
52,25.2,1199,3,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
36,19.8,351,1,No,Farmer (Kisan),Tier-2,PMJJBY (Life Cover - ₹436/year)
33,20.2,1215,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
20,29.9,423,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
37,20.7,703,1,No,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
41,20.0,243,0,No,Small Shopkeeper,Rural,PMJJBY (Life Cover - ₹436/year)
50,28.0,896,0,Yes,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
41,25.2,703,3,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
28,20.7,1464,2,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
25,24.8,1129,0,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
53,20.4,1042,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
55,27.9,550,3,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
57,27.7,222,2,No,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
37,25.9,797,1,No,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
52,25.3,1266,2,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
42,30.2,665,2,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
52,24.0,239,3,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
42,19.9,502,2,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
46,25.6,374,3,No,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
35,31.3,1198,1,Yes,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
35,20.4,820,0,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
19,22.7,1416,0,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
52,25.5,443,3,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
